model_family,run_timestamp,short_description,split,metric,value,source_file
DenseNet-121,2026-07-25 23:48:22.997435,Preprocessing quality arm: raw_then_pad,validation,qwk,0.8117,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md
DenseNet-121,2026-07-25 23:48:22.997435,Preprocessing quality arm: raw_then_pad,validation,macro_f1,0.6810,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md
DenseNet-121,2026-07-25 23:48:22.997435,Preprocessing quality arm: raw_then_pad,validation,grade1_recall,0.4444,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md
DenseNet-121,2026-07-25 23:48:22.997435,Preprocessing quality arm: raw_then_pad,validation,average_precision,0.7305,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md
DenseNet-121,2026-07-25 23:48:22.997435,Preprocessing quality arm: raw_then_pad,validation,roc_auc,0.8899,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md
DenseNet-121,2026-07-25 23:48:22.997435,Preprocessing quality arm: raw_then_pad,validation,selection_score,0.7603,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md
DenseNet-121,2026-07-25 23:48:22.997435,Preprocessing quality arm: raw_then_pad,cam,joint_energy,0.8310,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md
DenseNet-121,2026-07-25 23:48:22.997435,Preprocessing quality arm: raw_then_pad,cam,border_energy,0.1111,docs/report/dense_net_121/2026-07-25_23-48-22_preprocessing_quality_ablation.md
YOLOv8,2026-07-26 07:25:09,YOLOv8n joint detector current best.pt,detector_validation,validation_precision,0.99952,checkpoints/yolov8/best.pt
YOLOv8,2026-07-26 07:25:09,YOLOv8n joint detector current best.pt,detector_validation,validation_recall,0.99145,checkpoints/yolov8/best.pt
YOLOv8,2026-07-26 07:25:09,YOLOv8n joint detector current best.pt,detector_validation,validation_map50,0.99500,checkpoints/yolov8/best.pt
YOLOv8,2026-07-26 07:25:09,YOLOv8n joint detector current best.pt,detector_validation,validation_map50_95,0.90477,checkpoints/yolov8/best.pt
DenseNet-121,2026-07-30 15:45:03.830205,Production YOLO ROI robustness fine-tune,validation,accuracy,0.6186,notebook inline outputs
DenseNet-121,2026-07-30 15:45:03.830205,Production YOLO ROI robustness fine-tune,validation,qwk,0.7650,notebook inline outputs
DenseNet-121,2026-07-30 15:45:03.830205,Production YOLO ROI robustness fine-tune,validation,macro_f1,0.6451,notebook inline outputs
DenseNet-121,2026-07-30 15:45:03.830205,Production YOLO ROI robustness fine-tune,validation,average_precision,0.6756,notebook inline outputs
DenseNet-121,2026-07-30 15:45:03.830205,Production YOLO ROI robustness fine-tune,validation,selection_score,0.7156,notebook inline outputs
DenseNet-121,2026-07-30 15:45:03.830205,Production YOLO ROI robustness fine-tune,cam,joint_energy,0.8505,notebook inline outputs
DenseNet-121,2026-07-30 15:45:03.830205,Production YOLO ROI robustness fine-tune,cam,border_energy,0.0844,notebook inline outputs
DenseNet-121,2026-07-30 15:45:03.830205,Production YOLO ROI robustness fine-tune,cam,peak_inside_rate,1.0000,notebook inline outputs
